LA No.,LA Name,LAEstab (at Apr 19),School Name (at Apr 19),Eligible Pupils,Total Allocation,October/February payment,April payment
202,Camden,2022000,St Lukes Church of England Primary,89,16890,9853,7037
202,Camden,2022001,Abacus Belsize Primary School,92,16920,9870,7050
202,Camden,2022002,Kings Cross Academy,118,17180,10022,7158
203,Greenwich,2032018,Millennium Primary School,354,19540,11398,8142
203,Greenwich,2032024,Alderwood Primary School,163,17630,10284,7346
203,Greenwich,2032266,Greenacres Primary School and Language Impairment Unit,205,18050,10529,7521
203,Greenwich,2032275,Halstow Primary School,343,19430,11334,8096
203,Greenwich,2032313,Horn Park Primary School,329,19290,11253,8037
203,Greenwich,2032656,Woodhill Primary School,480,20800,12133,8667
203,Greenwich,2032790,Brooklands Primary School,178,17780,10372,7408
203,Greenwich,2032804,Rockliffe Manor Primary School,177,17770,10366,7404
203,Greenwich,2032885,Foxfield Primary School,523,21230,12384,8846
203,Greenwich,2032890,Windrush Primary School,591,21910,12781,9129
203,Greenwich,2032902,Nightingale Primary School,165,17650,10296,7354
203,Greenwich,2032919,Timbercroft Primary School,314,19140,11165,7975
203,Greenwich,2032920,South Rise Primary School,509,21090,12303,8787
203,Greenwich,2032923,Deansfield Primary School,359,19590,11428,8162
203,Greenwich,2033535,St Marys Catholic Primary School,359,19590,11428,8162
203,Greenwich,2037201,Willow Dene School,169,17690,10319,7371
204,Hackney,2042001,The Olive School Hackney,449,20490,11953,8537
204,Hackney,2042002,Mossbourne Riverside Academy,86,16860,9835,7025
204,Hackney,2042003,Halley House School,68,16680,9730,6950
204,Hackney,2042004,Hackney New Primary School,100,17000,9917,7083
204,Hackney,2042444,Northwold Primary School,336,19360,11293,8067
204,Hackney,2043665,Mossbourne Parkside Academy,352,19520,11387,8133
204,Hackney,2043664,Lubavitch Girls Primary School,125,17250,10063,7187
204,Hackney,2042005,Lubavitch Junior Boys,109,17090,9969,7121
205,Hammersmith and Fulham,2051106,Courtyard AP Academy,15,15000,8750,6250
205,Hammersmith and Fulham,2052000,Ark Conway Primary Academy,179,17790,10378,7412
205,Hammersmith and Fulham,2052001,West London Free School Primary,240,18400,10733,7667
205,Hammersmith and Fulham,2052003,Ark Swift Primary Academy,243,18430,10751,7679
205,Hammersmith and Fulham,2052004,Earls Court Free School Primary,90,16900,9858,7042
205,Hammersmith and Fulham,2052005,Langford Primary School,140,17400,10150,7250
205,Hammersmith and Fulham,2052045,Ark Bentworth Primary Academy,152,17520,10220,7300
205,Hammersmith and Fulham,2052286,Fulham Primary School,241,18410,10739,7671
205,Hammersmith and Fulham,2052309,Thomass Academy,151,17510,10214,7296
205,Hammersmith and Fulham,2052383,Lena Gardens Primary School,110,17100,9975,7125
205,Hammersmith and Fulham,2052484,Queens Manor School and Special Needs Unit,172,17720,10337,7383
205,Hammersmith and Fulham,2052577,Sulivan Primary School,201,18010,10506,7504
205,Hammersmith and Fulham,2052913,Greenside Primary School,166,17660,10302,7358
205,Hammersmith and Fulham,2055400,The London Oratory School,79,16790,9794,6996
205,Hammersmith and Fulham,2056905,Ark Burlington Danes Academy,96,16960,9893,7067
206,Islington,2062000,Whitehall Park School,175,17750,10354,7396
206,Islington,2062002,Clerkenwell Parochial CofE Primary School,159,17590,10261,7329
206,Islington,2062643,William Tyndale Primary School,358,19580,11422,8158
206,Islington,2063644,The New North Academy,271,18710,10914,7796
206,Islington,2066905,St Mary Magdalene Academy,180,17800,10383,7417
206,Islington,2067001,The Bridge Integrated Learning Space,1,1000,583,417
206,Islington,2067002,The Bridge Satellite Provision,25,16250,9479,6771
206,Islington,2067031,The Bridge School,97,16970,9899,7071
206,Islington,2062003,Hungerford School,269,18690,10903,7787
206,Islington,2061112,The Pears Family School,10,10000,5833,4167
206,Islington,2062001,"City of London Primary Academy, Islington",39,16390,9561,6829
207,Kensington and Chelsea,2072000,Ark Brunel Primary Academy,307,19070,11124,7946
207,Kensington and Chelsea,2072001,Kensington Primary Academy,30,16300,9508,6792
207,Kensington and Chelsea,2077164,Parkwood Hall Co-Operative Academy,28,16280,9497,6783
208,Lambeth,2081102,Kennington Park Academy,30,16300,9508,6792
208,Lambeth,2082332,Oasis Academy Johanna,175,17750,10354,7396
208,Lambeth,2082899,Rosendale Primary School,536,21360,12460,8900
208,Lambeth,2085202,Corpus Christi Catholic Primary School,337,19370,11299,8071
208,Lambeth,2085402,Dunraven School,228,18280,10663,7617
208,Lambeth,2083329,"Christ Church, Streatham Church of England Primary School",167,17670,10308,7362
208,Lambeth,2083493,St Leonards Church of England Primary School,194,17940,10465,7475
208,Lambeth,2083499,St Lukes Church of England Primary School,172,17720,10337,7383
208,Lambeth,2082001,Van Gogh Academy,628,22280,12997,9283
209,Lewisham,2092001,Haberdashers Askes Hatcham Temple Grove Free School,241,18410,10739,7671
209,Lewisham,2092599,Tidemill Academy,365,19650,11463,8187
209,Lewisham,2096905,Haberdashers Askes Hatcham College,355,19550,11404,8146
209,Lewisham,2096906,Haberdashers Askes Knights Academy,280,18800,10967,7833
209,Lewisham,2096907,St Matthew Academy,278,18780,10955,7825
209,Lewisham,2092108,Childeric Primary School,349,19490,11369,8121
209,Lewisham,2093325,St Georges CofE Primary School,165,17650,10296,7354
209,Lewisham,2092004,Turnham Academy,361,19610,11439,8171
210,Southwark,2102001,Harris Primary Free School Peckham,273,18730,10926,7804
210,Southwark,2102002,Judith Kerr Primary School,227,18270,10658,7612
210,Southwark,2102004,Harris Primary Academy East Dulwich,138,17380,10138,7242
210,Southwark,2102005,Angel Oak Academy,312,19120,11153,7967
210,Southwark,2102006,The Belham Primary School,173,17730,10343,7387
210,Southwark,2102007,Galleywall Primary,61,16610,9689,6921
210,Southwark,2102008,Goose Green Primary and Nursery School,343,19430,11334,8096
210,Southwark,2102169,Dulwich Hamlet Junior School,390,19900,11608,8292
210,Southwark,2102335,John Donne Primary School,383,19830,11568,8262
210,Southwark,2102500,Redriff Primary School,377,19770,11533,8237
210,Southwark,2102857,Harris Primary Academy Peckham Park,293,18930,11043,7887
210,Southwark,2106912,Ark Globe Academy,339,19390,11311,8079
210,Southwark,2105209,Surrey Square Primary School,353,19530,11393,8137
210,Southwark,2102010,St Pauls Church of England Primary School,252,18520,10803,7717
211,Tower Hamlets,2112000,"Canary Wharf College, East Ferry",240,18400,10733,7667
211,Tower Hamlets,2112001,Old Ford Primary School,528,21280,12413,8867
211,Tower Hamlets,2112008,Solebay Primary - A Paradigm Academy,270,18700,10908,7792
211,Tower Hamlets,2112009,"Canary Wharf College, Glenworth",139,17390,10144,7246
211,Tower Hamlets,2112145,Culloden Primary - A Paradigm Academy,506,21060,12285,8775
211,Tower Hamlets,2112159,The Clara Grant Primary School,387,19870,11591,8279
211,Tower Hamlets,2112557,Sir William Burrough Primary School,268,18680,10897,7783
211,Tower Hamlets,2112568,Stebon Primary School,443,20430,11918,8512
211,Tower Hamlets,2112920,Bygrove Primary School,177,17770,10366,7404
211,Tower Hamlets,2114277,St Pauls Way Trust School,141,17410,10156,7254
212,Wandsworth,2122000,Tooting Primary School,246,18460,10768,7692
212,Wandsworth,2122001,Mosaic Jewish Primary School,112,17120,9987,7133
212,Wandsworth,2122002,Rutherford House School,233,18330,10693,7637
212,Wandsworth,2122003,Oasis Academy Putney,33,16330,9526,6804
212,Wandsworth,2122006,Floreat Wandsworth Primary School,107,17070,9958,7112
212,Wandsworth,2122007,Westbridge Primary School,149,17490,10203,7287
212,Wandsworth,2122009,Belleville Wix Academy,229,18290,10669,7621
212,Wandsworth,2122011,Griffin Primary School,270,18700,10908,7792
212,Wandsworth,2122040,Belleville Primary School,742,23420,13662,9758
212,Wandsworth,2122107,Chesterton Primary School,348,19480,11363,8117
212,Wandsworth,2122877,The Alton School,158,17580,10255,7325
212,Wandsworth,2127000,Nightingale Community Academy,23,16230,9468,6762
212,Wandsworth,2122231,Franciscan Primary School,308,19080,11130,7950
212,Wandsworth,2122301,ARK John Archer Primary Academy,245,18450,10763,7687
212,Wandsworth,2127067,Linden Lodge School,40,16400,9567,6833
212,Wandsworth,2122012,Goldfinch Primary School,213,18130,10576,7554
213,Westminster,2131101,Beachcroft AP Academy,11,11000,6417,4583
213,Westminster,2132000,Ark Atwood Primary Academy,356,19560,11410,8150
213,Westminster,2132002,Wilberforce Primary,161,17610,10273,7337
213,Westminster,2132003,Pimlico Primary,150,17500,10208,7292
213,Westminster,2132004,Churchill Gardens Primary Academy,177,17770,10366,7404
213,Westminster,2132005,Ark Paddington Green Primary Academy,184,17840,10407,7433
213,Westminster,2132244,Gateway Academy,542,21420,12495,8925
213,Westminster,2132418,Millbank Academy,319,19190,11194,7996
213,Westminster,2136907,Ark King Solomon Academy,364,19640,11457,8183
301,Barking and Dagenham,3012002,Dorothy Barley Junior Academy,418,20180,11772,8408
301,Barking and Dagenham,3012003,Thames View Junior School,436,20360,11877,8483
301,Barking and Dagenham,3012006,Eastbury Primary School,680,22800,13300,9500
301,Barking and Dagenham,3012019,Riverside Primary School,58,16580,9672,6908
301,Barking and Dagenham,3012021,Thames View Infants,237,18370,10716,7654
301,Barking and Dagenham,3012026,The James Cambell Primary School,646,22460,13102,9358
301,Barking and Dagenham,3013300,St Margarets CofE Primary School,332,19320,11270,8050
301,Barking and Dagenham,3014003,Goresbrook School,200,18000,10500,7500
301,Barking and Dagenham,3014028,The Sydney Russell School,221,18210,10623,7587
301,Barking and Dagenham,3017001,Riverside Bridge School,55,16550,9654,6896
302,Barnet,3022001,Etz Chaim Jewish Primary School,163,17630,10284,7346
302,Barnet,3022004,Rimon Jewish Primary School,133,17330,10109,7221
302,Barnet,3022018,Deansbrook Junior School,390,19900,11608,8292
302,Barnet,3022020,Alma Primary,120,17200,10033,7167
302,Barnet,3022030,Grasvenor Avenue Infant School,58,16580,9672,6908
302,Barnet,3022038,Parkfield Primary School,346,19460,11352,8108
302,Barnet,3022047,The Hyde School,361,19610,11439,8171
302,Barnet,3022048,Millbrook Park Primary School,172,17720,10337,7383
302,Barnet,3022049,Watling Park School,116,17160,10010,7150
302,Barnet,3022050,Ashmole Primary School,60,16600,9683,6917
302,Barnet,3022051,Summerside Primary Academy,392,19920,11620,8300
302,Barnet,3023515,Independent Jewish Day School,170,17700,10325,7375
302,Barnet,3023519,Broadfields Primary School,562,21620,12612,9008
302,Barnet,3023522,Claremont Primary School,311,19110,11148,7962
302,Barnet,3026905,London Academy,79,16790,9794,6996
302,Barnet,3026906,Wren Academy,119,17190,10028,7162
302,Barnet,3026085,Kisharon School,7,7000,4083,2917
302,Barnet,3022041,Sacks Morasha Jewish Primary School,180,17800,10383,7417
303,Bexley,3032000,Brampton Primary Academy,346,19460,11352,8108
303,Bexley,3032003,Eastcote Primary Academy,187,17870,10424,7446
303,Bexley,3032005,East Wickham Primary Academy,522,21220,12378,8842
303,Bexley,3032006,Gravel Hill Primary School,353,19530,11393,8137
303,Bexley,3032007,Hillsgrove Primary School,340,19400,11317,8083
303,Bexley,3032009,Upland Primary School,377,19770,11533,8237
303,Bexley,3032012,Pelham Primary School,354,19540,11398,8142
303,Bexley,3032020,Willow Bank Primary School,353,19530,11393,8137
303,Bexley,3032021,Belvedere Junior School,350,19500,11375,8125
303,Bexley,3032022,Christ Church (Erith) CofE Primary School,443,20430,11918,8512
303,Bexley,3032023,St Augustine of Canterbury CofE Primary School,170,17700,10325,7375
303,Bexley,3032029,Peareswood Primary School,345,19450,11346,8104
303,Bexley,3032031,Bedonwell Junior School,466,20660,12052,8608
303,Bexley,3032032,Bedonwell Infant and Nursery School,240,18400,10733,7667
303,Bexley,3032041,Hope Community School,111,17110,9981,7129
303,Bexley,3032044,Mayplace Primary School,356,19560,11410,8150
303,Bexley,3032046,Days Lane Primary School,532,21320,12437,8883
303,Bexley,3032048,Lessness Heath Primary School,513,21130,12326,8804
303,Bexley,3032058,Bursted Wood Primary School,421,20210,11789,8421
303,Bexley,3032061,Chatsworth Infant School,120,17200,10033,7167
303,Bexley,3032062,Normandy Primary School,484,20840,12157,8683
303,Bexley,3032063,Jubilee Primary School,334,19340,11282,8058
303,Bexley,3032064,Burnt Oak Junior School,239,18390,10728,7662
303,Bexley,3032065,Northwood Primary School,198,17980,10488,7492
303,Bexley,3032067,Sherwood Park Primary School,344,19440,11340,8100
303,Bexley,3032069,Royal Park Primary Academy,319,19190,11194,7996
303,Bexley,3032071,St. Pauls (Slade Green) Church of England Primary School,335,19350,11288,8062
303,Bexley,3032080,Hurst Primary School,534,21340,12448,8892
303,Bexley,3032081,Northumberland Heath Primary School,530,21300,12425,8875
303,Bexley,3032083,Barrington Primary School,219,18190,10611,7579
303,Bexley,3033008,Old Bexley Church of England School,651,22510,13131,9379
303,Bexley,3033301,Holy Trinity Lamorbey Church of England School,343,19430,11334,8096
303,Bexley,3033302,St Paulinus Church of England Primary School,180,17800,10383,7417
303,Bexley,3034003,Harris Garrard Academy,381,19810,11556,8254
303,Bexley,3035200,Barnehurst Infant School,120,17200,10033,7167
303,Bexley,3035201,Barnehurst Junior School,240,18400,10733,7667
303,Bexley,3035202,St Michaels East Wickham Church of England  Primary School,178,17780,10372,7408
303,Bexley,3036907,Haberdashers Askes Crayford Academy,476,20760,12110,8650
303,Bexley,3037001,Shenstone School,102,17020,9928,7092
303,Bexley,3037003,Aspire Academy Bexley,40,16400,9567,6833
303,Bexley,3032033,Belmont Primary School,358,19580,11422,8158
303,Bexley,3032068,Castilion Primary School,342,19420,11328,8092
303,Bexley,3037000,Woodside School,48,16480,9613,6867
304,Brent,3042021,Ark Franklin Primary Academy,469,20690,12069,8621
304,Brent,3042022,Gladstone Park Primary School,533,21330,12443,8887
304,Brent,3042029,St Andrew and St Francis CofE Primary School,348,19480,11363,8117
304,Brent,3042035,Kilburn Grange School,72,16720,9753,6967
304,Brent,3042040,East Lane Primary School,172,17720,10337,7383
304,Brent,3042067,Furness Primary School,381,19810,11556,8254
304,Brent,3042076,Sudbury Primary School,715,23150,13504,9646
304,Brent,3045200,Oakington Manor Primary School,576,21760,12693,9067
304,Brent,3045201,North West London Jewish Day School,206,18060,10535,7525
304,Brent,3045410,Preston Manor School,359,19590,11428,8162
304,Brent,3046906,Ark Academy,346,19460,11352,8108
304,Brent,3047006,Manor School,167,17670,10308,7362
304,Brent,3042058,Braintcroft E-Act Primary Academy,533,21330,12443,8887
304,Brent,3047009,The Village School,114,17140,9998,7142
305,Bromley,3052000,Alexandra Junior School,250,18500,10792,7708
305,Bromley,3052001,Alexandra Infant School,127,17270,10074,7196
305,Bromley,3052002,Balgowan Primary School,585,21850,12746,9104
305,Bromley,3052003,Harris Primary Academy Beckenham Green,165,17650,10296,7354
305,Bromley,3052004,Churchfields Primary School,369,19690,11486,8204
305,Bromley,3052006,Hawes Down Primary School,427,20270,11824,8446
305,Bromley,3052008,Marian Vian Primary School,569,21690,12653,9037
305,Bromley,3052009,Grays Farm Primary Academy,344,19440,11340,8100
305,Bromley,3052010,Oak Lodge Primary School,534,21340,12448,8892
305,Bromley,3052011,Stewart Fleming Primary School,410,20100,11725,8375
305,Bromley,3052012,Wickham Common Primary School,372,19720,11503,8217
305,Bromley,3052014,Burnt Ash Primary School,358,19580,11422,8158
305,Bromley,3052016,Harris Primary Academy Kent House,341,19410,11323,8087
305,Bromley,3052017,Pickhurst Infant Academy,240,18400,10733,7667
305,Bromley,3052018,Pickhurst Junior School,520,21200,12367,8833
305,Bromley,3052023,Harris Primary Academy Crystal Palace,329,19290,11253,8037
305,Bromley,3052024,Valley Primary School,413,20130,11743,8387
305,Bromley,3052026,Red Hill Primary School,602,22020,12845,9175
305,Bromley,3052027,St Johns Church of England Primary School,193,17930,10459,7471
305,Bromley,3052028,Mottingham Primary School,352,19520,11387,8133
305,Bromley,3052029,Castlecombe Primary School,175,17750,10354,7396
305,Bromley,3052030,Dorset Road Infant School,45,16450,9596,6854
305,Bromley,3052031,Harris Primary Academy Beckenham,90,16900,9858,7042
305,Bromley,3052034,Chelsfield Primary School,84,16840,9823,7017
305,Bromley,3052035,Harris Primary Academy Shortlands,175,17750,10354,7396
305,Bromley,3052036,La Fontaine Academy,212,18120,10570,7550
305,Bromley,3052038,Crofton Infant School,372,19720,11503,8217
305,Bromley,3052039,Darrick Wood Junior School,382,19820,11562,8258
305,Bromley,3052040,Darrick Wood Infant School,180,17800,10383,7417
305,Bromley,3052042,Farnborough Primary School,245,18450,10763,7687
305,Bromley,3052046,Pratts Bottom Primary School,67,16670,9724,6946
305,Bromley,3052053,The Highway Primary School,184,17840,10407,7433
305,Bromley,3052056,Warren Road Primary School,720,23200,13533,9667
305,Bromley,3052057,St. Mary Cray Primary Academy,196,17960,10477,7483
305,Bromley,3052059,Trinity Church of England Primary School,362,19620,11445,8175
305,Bromley,3052062,James Dixon Primary School,367,19670,11474,8196
305,Bromley,3052064,Leesons Primary School,251,18510,10798,7712
305,Bromley,3052065,Mead Road Infant School,58,16580,9672,6908
305,Bromley,3052066,Midfield Primary School,334,19340,11282,8058
305,Bromley,3052067,Worsley Bridge Primary School,311,19110,11148,7962
305,Bromley,3052068,Langley Park Primary School,44,16440,9590,6850
305,Bromley,3052070,Harris Primary Academy Orpington,354,19540,11398,8142
305,Bromley,3052071,Scotts Park Primary School,442,20420,11912,8508
305,Bromley,3052072,Oaklands Primary Academy,440,20400,11900,8500
305,Bromley,3052074,Clare House Primary School,334,19340,11282,8058
305,Bromley,3052075,Green Street Green Primary School,371,19710,11498,8212
305,Bromley,3052079,Perry Hall Primary School,364,19640,11457,8183
305,Bromley,3052084,Manor Oak Primary School,164,17640,10290,7350
305,Bromley,3053000,Keston Church of England Primary School,181,17810,10389,7421
305,Bromley,3053001,Parish Church of England Primary School,534,21340,12448,8892
305,Bromley,3053002,"St Georges, Bickley, Church of England Primary School",324,19240,11223,8017
305,Bromley,3053003,Unicorn Primary School,413,20130,11743,8387
305,Bromley,3053004,Cudham Church of England Primary School,85,16850,9829,7021
305,Bromley,3053300,St Marks Church of England Primary School,354,19540,11398,8142
305,Bromley,3053301,St Nicholas Church of England Primary,188,17880,10430,7450
305,Bromley,3053500,St Josephs Catholic Primary School,175,17750,10354,7396
305,Bromley,3053501,St Vincents Catholic Primary School,184,17840,10407,7433
305,Bromley,3053503,St Philomenas Primary School,182,17820,10395,7425
305,Bromley,3053504,St Anthonys Roman Catholic Primary School,148,17480,10197,7283
305,Bromley,3053505,St Peter and St Paul Catholic Primary School,184,17840,10407,7433
305,Bromley,3053507,St James Roman Catholic Primary School,188,17880,10430,7450
305,Bromley,3053508,Blenheim Primary School,188,17880,10430,7450
305,Bromley,3053510,Biggin Hill Primary School,315,19150,11171,7979
305,Bromley,3055200,Crofton Junior School,718,23180,13522,9658
305,Bromley,3055201,Holy Innocents Catholic Primary School,190,17900,10442,7458
305,Bromley,3055202,St Marys Catholic Primary School,372,19720,11503,8217
305,Bromley,3055203,Highfield Infants School,179,17790,10378,7412
305,Bromley,3055204,Highfield Junior School,379,19790,11544,8246
305,Bromley,3055205,Hayes Primary School,555,21550,12571,8979
305,Bromley,3055206,Raglan Primary School,374,19740,11515,8225
305,Bromley,3055207,Tubbenden Primary School,556,21560,12577,8983
305,Bromley,3057000,Bromley Trust Alternative Provision Academy,13,13000,7583,5417
305,Bromley,3057001,Bromley Beacon Academy,24,16240,9473,6767
305,Bromley,3053005,St Pauls Cray Church of England Primary School,205,18050,10529,7521
306,Croydon,3062008,David Livingstone Academy,175,17750,10354,7396
306,Croydon,3062013,Ark Oval Primary Academy,468,20680,12063,8617
306,Croydon,3062015,Robert Fitzroy Academy,505,21050,12279,8771
306,Croydon,3062016,Applegarth Academy,339,19390,11311,8079
306,Croydon,3062019,Gonville Academy,403,20030,11684,8346
306,Croydon,3062031,Harris Primary Academy Kenley,325,19250,11229,8021
306,Croydon,3062034,Harris Primary Academy Benson,303,19030,11101,7929
306,Croydon,3062036,Tudor Academy,531,21310,12431,8879
306,Croydon,3062040,Harris Primary Academy Haling Park,168,17680,10313,7367
306,Croydon,3062043,St Peters Primary School,350,19500,11375,8125
306,Croydon,3062046,West Thornton Primary Academy,657,22570,13166,9404
306,Croydon,3062047,Whitehorse Junior School,421,20210,11789,8421
306,Croydon,3062048,Whitehorse Manor Infant School,224,18240,10640,7600
306,Croydon,3062055,The Woodside Academy,606,22060,12868,9192
306,Croydon,3062057,Chipstead Valley Primary School,462,20620,12028,8592
306,Croydon,3062061,Harris Primary Academy Purley Way,30,16300,9508,6792
306,Croydon,3062064,Chestnut Park Primary School,145,17450,10179,7271
306,Croydon,3062066,Heathfield Academy,69,16690,9736,6954
306,Croydon,3062073,Oasis Academy Ryelands,322,19220,11212,8008
306,Croydon,3062076,Park Hill Junior School,365,19650,11463,8187
306,Croydon,3062081,Winterbourne Boys Academy,301,19010,11089,7921
306,Croydon,3062082,Broadmead Primary School,405,20050,11696,8354
306,Croydon,3062085,Rowdown Primary School,272,18720,10920,7800
306,Croydon,3062087,Paxton Academy Sports And Science,141,17410,10156,7254
306,Croydon,3062088,New Valley Primary School,153,17530,10226,7304
306,Croydon,3062091,St Marks Church of England Primary Academy,134,17340,10115,7225
306,Croydon,3062095,Beulah Infants School,139,17390,10144,7246
306,Croydon,3062097,St. Marys Catholic Junior School,230,18300,10675,7625
306,Croydon,3062116,South Norwood Primary,360,19600,11433,8167
306,Croydon,3062100,Davidson Primary Academy,260,18600,10850,7750
306,Croydon,3062103,Fairchildes Primary School,401,20010,11673,8337
306,Croydon,3062104,Krishna Avanti Primary School,24,16240,9473,6767
306,Croydon,3062109,Forest Academy,263,18630,10868,7762
306,Croydon,3062111,Oasis Academy Byron,209,18090,10553,7537
306,Croydon,3062113,Kingsley Primary Academy,720,23200,13533,9667
306,Croydon,3062114,Cypress Primary School,513,21130,12326,8804
306,Croydon,3062115,Castle Hill Academy,354,19540,11398,8142
306,Croydon,3063008,St Cyprians Greek Orthodox Primary Academy,365,19650,11463,8187
306,Croydon,3063400,Good Shepherd Catholic Primary and Nursery School,183,17830,10401,7429
306,Croydon,3063403,St Thomas Becket Catholic Primary School,374,19740,11515,8225
306,Croydon,3063406,St Marys Catholic Infant School,118,17180,10022,7158
306,Croydon,3063409,St Aidans Catholic Primary School,186,17860,10418,7442
306,Croydon,3063411,St Chads Catholic Primary School,318,19180,11188,7992
306,Croydon,3063417,Aerodrome Primary Academy,396,19960,11643,8317
306,Croydon,3063419,Ecclesbourne Primary School,338,19380,11305,8075
306,Croydon,3063420,The Crescent Primary School,582,21820,12728,9092
306,Croydon,3065201,St James the Great RC Primary and Nursery School,388,19880,11597,8283
306,Croydon,3065202,Atwood Primary Academy,361,19610,11439,8171
306,Croydon,3066909,Oasis Academy Shirley Park,553,21530,12559,8971
306,Croydon,3062025,Monks Orchard Primary School,467,20670,12058,8612
306,Croydon,3062086,Courtwood Primary School,190,17900,10442,7458
306,Croydon,3063416,Gilbert Scott Primary School,164,17640,10290,7350
306,Croydon,3062004,Keston Primary School,356,19560,11410,8150
306,Croydon,3063415,Kensington Avenue Primary School,469,20690,12069,8621
306,Croydon,3067004,Beckmead School,80,16800,9800,7000
307,Ealing,3072001,Ark Priory Primary Academy,239,18390,10728,7662
307,Ealing,3072003,St Marys Church of England Primary Norwood Green,78,16780,9788,6992
307,Ealing,3072004,Ark Byron Primary Academy,120,17200,10033,7167
307,Ealing,3072010,Woodlands Academy,166,17660,10302,7358
307,Ealing,3072185,Brentside Primary School,340,19400,11317,8083
307,Ealing,3075200,Wood End Academy,376,19760,11527,8233
307,Ealing,3076905,Alec Reed Academy,498,20980,12238,8742
307,Ealing,3072011,Dormers Wells Junior School,446,20460,11935,8525
307,Ealing,3072012,Dormers Wells Infant School,200,18000,10500,7500
308,Enfield,3082000,Woodpecker Hall Primary Academy,356,19560,11410,8150
308,Enfield,3082010,Carterhatch Junior School,358,19580,11422,8158
308,Enfield,3082013,Kingfisher Hall Primary Academy,299,18990,11078,7912
308,Enfield,3082016,Enfield Heights Academy,129,17290,10086,7204
308,Enfield,3082017,Meridian Angel Primary School,164,17640,10290,7350
308,Enfield,3082038,Hazelbury Primary School,894,24940,14548,10392
308,Enfield,3082075,Lavender Primary School,419,20190,11778,8412
308,Enfield,3082076,Grange Park Primary School,675,22750,13271,9479
308,Enfield,3082078,Cuckoo Hall Academy,692,22920,13370,9550
308,Enfield,3082081,Bowes Primary School,626,22260,12985,9275
308,Enfield,3083507,Chesterfield Primary School,683,22830,13318,9512
308,Enfield,3083508,Brimsdown Primary School,508,21080,12297,8783
308,Enfield,3084001,Ark John Keats Academy,299,18990,11078,7912
308,Enfield,3084002,One Degree Academy,23,16230,9468,6762
308,Enfield,3084007,Edmonton County School,220,18200,10617,7583
308,Enfield,3086906,Oasis Academy Hadley,381,19810,11556,8254
308,Enfield,3087001,Fern House School,9,9000,5250,3750
308,Enfield,3082072,Alma Primary School,350,19500,11375,8125
308,Enfield,3082077,Eastfield Primary School,360,19600,11433,8167
308,Enfield,3082079,Churchfield Primary School,517,21170,12349,8821
308,Enfield,3082080,Worcesters Primary School,493,20930,12209,8721
308,Enfield,3082093,Keys Meadow Primary School,340,19400,11317,8083
308,Enfield,3082029,Fleecefield Primary School,355,19550,11404,8146
308,Enfield,3082030,Galliard Primary School,532,21320,12437,8883
308,Enfield,3082063,Walker Primary School,361,19610,11439,8171
308,Enfield,3082023,Houndsfield Primary School,520,21200,12367,8833
308,Enfield,3082073,Wilbury Primary School,709,23090,13469,9621
308,Enfield,3082083,Raynham Primary School,627,22270,12991,9279
308,Enfield,3082086,Brettenham Primary School,359,19590,11428,8162
308,Enfield,3083506,Wolfson Hillel Primary School,363,19630,11451,8179
309,Haringey,3091102,Octagon AP Academy,7,7000,4083,2917
309,Haringey,3092011,Eden Primary,175,17750,10354,7396
309,Haringey,3092012,Brook House Primary School,327,19270,11241,8029
309,Haringey,3092016,Harris Primary Academy Coleraine Park,334,19340,11282,8058
309,Haringey,3092021,Harris Primary Academy Philip Lane,337,19370,11299,8071
309,Haringey,3092028,Noel Park Primary School,464,20640,12040,8600
309,Haringey,3092030,Trinity Primary Academy,350,19500,11375,8125
309,Haringey,3092037,Holy Trinity CofE Primary School,157,17570,10249,7321
309,Haringey,3093300,St Pauls and All Hallows CofE Infant School,89,16890,9853,7037
309,Haringey,3093304,St Anns CE Primary School,171,17710,10331,7379
309,Haringey,3093307,St Michaels CofE Primary School,154,17540,10232,7308
309,Haringey,3093308,St Pauls and All Hallows CofE Junior School,215,18150,10588,7562
309,Haringey,3094000,Harris Academy Tottenham,65,16650,9713,6937
309,Haringey,3097003,The Grove,10,10000,5833,4167
310,Harrow,3102001,Aylward Primary School,391,19910,11614,8296
310,Harrow,3102002,Saint Jerome Church of England Bilingual School,60,16600,9683,6917
310,Harrow,3102005,Earlsmead Primary School,299,18990,11078,7912
310,Harrow,3102006,Avanti House Primary School,298,18980,11072,7908
310,Harrow,3102049,Whitefriars School,446,20460,11935,8525
310,Harrow,3102072,Heathland School,538,21380,12472,8908
310,Harrow,3103500,St Bernadettes Catholic Primary School,353,19530,11393,8137
310,Harrow,3103513,Krishna Avanti Primary School,299,18990,11078,7912
310,Harrow,3107004,Alexandra School,75,16750,9771,6979
310,Harrow,3102061,Priestmead Primary School and Nursery,631,22310,13014,9296
310,Harrow,3102007,The Welldon Park Academy,418,20180,11772,8408
310,Harrow,3103509,The Moriah Jewish Day School,163,17630,10284,7346
311,Havering,3112000,Langtons Junior Academy,294,18940,11048,7892
311,Havering,3112004,Oasis Academy Pinewood,255,18550,10821,7729
311,Havering,3112009,Benhurst Primary School,356,19560,11410,8150
311,Havering,3112012,Drapers Brookside Junior School,240,18400,10733,7667
311,Havering,3112016,Rise Park Junior School,297,18970,11066,7904
311,Havering,3112020,Drapers Maylands Primary School,95,16950,9888,7062
311,Havering,3112022,Scargill Junior School,325,19250,11229,8021
